Section,Category,Stat,Display Name,Value,Unit,Type,Source,Description
"About this sheet","Provenance","Generated at (UTC)","","2026.08.19-23.20.59","","text","Trace.DumpStats","This file is GENERATED FROM THE RUNNING GAME. Do not hand-edit it - re-run Trace.DumpStats instead, or your edit is gone at the next dump."
"About this sheet","Provenance","Generated by","","Trace.DumpStats (Source/Trace/Debug/TraceStatsDump.cpp)","","text","Trace.DumpStats","Console command, dev builds only. `Trace.DumpStats <path>` writes elsewhere; `Trace.VerifyStats` re-parses the written file column by column."
"About this sheet","Provenance","Written to","","docs/TraceStats.csv","","text","Trace.DumpStats","Saved/Stats/TraceStats.csv by default. docs/TraceStats.csv is the committed copy, produced by the same command with an explicit path."
"About this sheet","Provenance","How to open this in Google Sheets","","File > Import > Upload, then Replace spreadsheet","","text","n/a","We cannot create a Google Sheet from the build machine - there is no authenticated Drive access - so this is the one-click import instead. GitHub also renders it as a sortable table with no download."
"About this sheet","Provenance","Where these values come from","","the live CDOs, after Config/DefaultGame.ini has been applied","","text","n/a","NOT the C++ header defaults. Config/DefaultGame.ini beats a header default in this project, so a value read from a header can be wrong; every value here is read back out of the object the game plays from."
"About this sheet","Provenance","Descriptions and categories available","","yes","","text","WITH_METADATA","UPROPERTY doc comments and Category strings are editor-only metadata. In a cooked target they do not exist, so the Description and Category columns come out empty and the grouping falls back to a name heuristic."
"About this sheet","Provenance","Roster source","","assets (/Game/Trace/Data/Characters)","","text","TraceCharacterRoster::CurrentSource()","Which table the character cards came from - the DA_Character_* assets, or the C++ fallback table in Core/TraceCharacterRoster.cpp. It is all of them or none, by design."
"About this sheet","Provenance","Reading the Source column","","knob = editable in Project Settings and DefaultGame.ini; anything else says where it lives","","text","n/a","Rows marked DERIVED are computed at dump time from the knobs above them and are stored nowhere - change the base and the derived number moves with it."
"Key numbers (computed live)","Derived","Movement speed - base walk","","800","uu/s","derived","DERIVED at dump time: UTraceSettings.WalkSpeed","The base every other movement number in this game is expressed against."
"Key numbers (computed live)","Derived","Movement speed - guns stowed (knife profile)","","976","uu/s","derived","DERIVED at dump time: WalkSpeed x KnifeMoveSpeedMultiplier","The speed boost for having no gun out. Stored as a MULTIPLIER of WalkSpeed, not as an absolute, so it tracks the base - retune WalkSpeed and this moves with it."
